,plant_id,plant_name,scientific_name,botanist_name,botanist_email,botanist_phone,origin_city,origin_country,latitude,longitude,license,license_name,license_url,thumbnail,last_watered,recording_taken,soil_moisture,temperature
11,14,Colocasia Esculenta,Colocasia esculenta,Joshua Jones,joshua.jones@lnhm.co.uk,+1-736-693-0793x86426,Watsontown,Nicaragua,-18.6871435,57.450992,4.0,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/2015_colocasia_esculenta/thumbnail/24325097844_14719030a3_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151654Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=40bbb9c3c04716fe78db438a524a7a20e47dbc34d8a44a019cf4c518978e3c15,2026-01-27 13:27:19,2026-01-27 15:14:01.558429,94.04413169767442,16.22727556433788
12,15,Cuphea ‘David Verity’,,Alexis Kaufman,alexis.kaufman@lnhm.co.uk,(356)716-8148x0222,Leeville,Cayman Islands,-62.5511245,-161.813034,,,,,2026-01-27 13:33:54,2026-01-27 15:14:01.814730,94.33225025849056,13.255071684937311
14,17,Ipomoea Batatas,Ipomoea batatas,James Underwood,james.underwood@lnhm.co.uk,+1-463-529-8946x478,Leebury,Swaziland,2.146164,56.967894,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151053Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=35076ffa99b1772ade4c2a936266f6a2fec3ac017482aa551b9b06dd7e0cc18c,2026-01-27 14:18:32,2026-01-27 15:14:03.420455,96.92105318853974,14.541325087808982
15,18,Manihot Esculenta ‘Variegata’,,Daniel Coffey,daniel.coffey@lnhm.co.uk,5922020840,Lake Tyler,Israel,-39.502295,-0.109342,,,,,2026-01-27 14:37:10,2026-01-27 15:14:03.673677,97.9857382411283,16.200237577487194
16,19,Musa Basjoo,Musa basjoo,John Rodriguez,john.rodriguez@lnhm.co.uk,(382)420-0455x075,Gonzalezhaven,Congo,-67.269697,102.225776,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151057Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=aaec028d108c33dfd2161bd9743b77044ef534fda7c5f631d92288a2227306fd,2026-01-27 14:49:17,2026-01-27 15:14:04.509357,98.6415439716895,15.438956328244286
17,20,Salvia Splendens,Salvia splendens,Jeffrey Sanchez,jeffrey.sanchez@lnhm.co.uk,4225817412,New Yolanda,Morocco,-23.4958555,-16.242039,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T144837Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=7ac1fa6eef3fed2aa6965f6972192f487efd0e86f098a48ffc9406f81a092d3f,2026-01-27 14:30:11,2026-01-27 15:14:05.670360,97.3939956933729,16.15876177252605
18,21,Anthurium,Anthurium andraeanum,Angela Myers,angela.myers@lnhm.co.uk,3838163814,West Kevinburgh,Macao,-69.5795405,-54.074219,5.0,Attribution-ShareAlike License,https://creativecommons.org/licenses/by-sa/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/855_anthurium_andraeanum/thumbnail/49388458462_0ef650db39_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151100Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=84a174084c5197d19ce215b940dacc85c4863aa920a98c71caf2c35d12207254,2026-01-27 14:50:20,2026-01-27 15:14:07.033046,98.63179957813998,15.173517473087445
19,22,Bird of Paradise,Heliconia schiedeana 'Fire and Ice',Andrew Gentry,andrew.gentry@lnhm.co.uk,+1-865-953-8002x162,East Rebecca,Angola,-34.9328045,150.371647,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151244Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=562927637750e630713f9ad7376f92fd3e6bd7e67d5c26547cd3de6043d96ed2,2026-01-27 14:35:24,2026-01-27 15:14:08.457667,97.77137328763183,15.080145706951226
20,23,Cordyline Fruticosa,Cordyline fruticosa,Clarence Frazier,clarence.frazier@lnhm.co.uk,(207)200-7842x16626,Mortonborough,Luxembourg,-31.6079135,-83.850347,45.0,Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0),https://creativecommons.org/licenses/by-sa/3.0/deed.en,https://s3.us-central-1.wasabisys.com/perenual/species_image/2045_cordyline_fruticosa/thumbnail/2560px-Cordyline_fruticosa_Rubra_1.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151246Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=efb2a04ab36557df3212fd1adfaf010b547b36ba86c0004a1f0c307e6f891273,2026-01-27 14:33:50,2026-01-27 15:14:08.762499,97.581237507,12.916407290972643
21,24,Ficus,Ficus carica,Laura Curtis,laura.curtis@lnhm.co.uk,(382)979-3257x31313,Lake Alexandraside,Chile,41.085675,-4.167175,4.0,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/288_ficus_carica/thumbnail/52377169610_b7a247a378_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151706Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=05e5c7759817f425b164c6321a344f41563ea1f0397abc46e07d6f3905dba1ed,2026-01-27 14:01:56,2026-01-27 15:14:09.127099,95.70552319722498,12.807621604670269
22,25,Palm Trees,,Larry Coleman,larry.coleman@lnhm.co.uk,(799)359-7652x4467,Farmerberg,Isle of Man,76.6820215,164.980551,,,,,2026-01-27 13:36:09,2026-01-27 15:14:09.642801,94.59996070156106,16.994878812332896
23,26,Dieffenbachia Seguine,Dieffenbachia seguine,Sarah Hammond,sarah.hammond@lnhm.co.uk,214.495.2482,Schmidtmouth,Guinea-Bissau,-29.066297,18.278546,4.0,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/2468_dieffenbachia_seguine/thumbnail/24449059743_2aee995991_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151108Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=d5c260b08faaa7c3eeccca9823216284583ea396213fb8f0e28515386c711085,2026-01-27 14:32:38,2026-01-27 15:14:11.109536,97.6301240190114,13.880812058824416
24,27,Spathiphyllum,Spathiphyllum (group),Paul Wells,paul.wells@lnhm.co.uk,363.797.6625,Ruizmouth,Niger,21.876417,-31.458582,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151109Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=3497abf82efafc35bf46e5e97db76ab41b52dcb1aaefd490257629fef64ee45a,2026-01-27 13:28:17,2026-01-27 15:14:12.186212,94.15346255013799,16.40069177976485
25,28,Croton,Codiaeum variegatum,Katherine Hunt,katherine.hunt@lnhm.co.uk,+1-263-878-8630x362,Mallorymouth,Cocos (Keeling) Islands,9.707351,72.816634,4.0,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/1999_codiaeum_variegatum/thumbnail/29041866364_2c535b2297_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151112Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=76fe93955b23d37fa3217ea095c45bde9bf8737d7014f531e0dbb83d7a974aa3,2026-01-27 13:18:38,2026-01-27 15:14:13.128868,93.643328263978,14.76703273276679
26,29,Aloe Vera,Aloe vera,Melissa Walker,melissa.walker@lnhm.co.uk,(762)519-1584,West Jacobfort,Djibouti,36.0357895,148.718821,5.0,Attribution-ShareAlike License,https://creativecommons.org/licenses/by-sa/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/728_aloe_vera/thumbnail/52619084582_6ebcfe6a74_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T091600Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=c56d708e00ed27bdb954713c526f05c3a2c186dc9c5cb2de421a7bfc473a1679,2026-01-27 14:03:58,2026-01-27 15:14:13.517163,95.97755996278626,12.604523127975195
27,30,Ficus Elastica,Ficus elastica,Kathleen Alvarado,kathleen.alvarado@lnhm.co.uk,855.609.7979,Lake Nicolefort,Greece,47.3941165,-24.434894,5.0,Attribution-ShareAlike License,https://creativecommons.org/licenses/by-sa/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/2961_ficus_elastica/thumbnail/533092219_8da73ba0d2_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151114Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=5f77dc7711b0b22787df049f32af15df76b8c08557ae6613c727ef96e70473c1,2026-01-27 13:00:43,2026-01-27 15:14:13.767636,92.33419365454546,10.171319058670916
28,31,Sansevieria Trifasciata,Sansevieria trifasciata,Tara Shannon,tara.shannon@lnhm.co.uk,001-212-276-0013x63686,South Haley,China,-54.5020945,-127.026269,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151116Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=2edd7ec9287bef60b4fccbb67940fc7323d2e661ebda96a706fb32bd78b82e55,2026-01-27 14:44:18,2026-01-27 15:14:15.175171,98.22061864752476,15.439006433830722
29,32,Philodendron Hederaceum,Philodendron hederaceum,Jessica Benson,jessica.benson@lnhm.co.uk,(987)435-8129,Joanmouth,Armenia,-35.3487675,-80.319921,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T184749Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=3e66845fd8d36ffac805e6a48f60aef4d752e5227b46df1466b036586de2bf39,2026-01-27 14:35:13,2026-01-27 15:14:16.094576,97.66158226247505,15.975550892956424
30,33,Schefflera Arboricola,Schefflera arboricola,Adam Norman,adam.norman@lnhm.co.uk,001-769-826-0298,New Thomastown,Ethiopia,23.490859,-19.275947,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T155820Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=e4e24c59400032701cbf567d663b42a6197d307081978c6e3a1bc23edfd1baf5,2026-01-27 13:06:43,2026-01-27 15:14:17.946713,92.53175930829268,14.55184077443451
31,34,Aglaonema Commutatum,Aglaonema commutatum,James Eaton,james.eaton@lnhm.co.uk,+1-992-447-3474,Michaelborough,Bouvet Island (Bouvetoya),-23.513493,91.272237,4.0,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/625_aglaonema_commutatum/thumbnail/24798632751_3a039ecbc6_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151258Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=10551cf476c6a21b1fff6fede9db538a2e591ee8bce68bd382d6ac86d3deaf42,2026-01-27 13:00:30,2026-01-27 15:14:19.226350,92.57240856059204,15.651728683750287
32,35,Monstera Deliciosa,Monstera deliciosa,Tara Quinn,tara.quinn@lnhm.co.uk,726-719-8082,New Shanechester,Tuvalu,-60.291449,-12.594265,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151719Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=1a50ec0df1139ecb7127c3ee9891742441b6b5c2d68a57c896674ead48df0255,2026-01-27 14:46:12,2026-01-27 15:14:19.839365,98.43283253389043,15.875504695532086
33,36,Tacca Integrifolia,Tacca integrifolia,Jacob Santos,jacob.santos@lnhm.co.uk,(462)367-2126,Port Jason,Singapore,50.7844445,177.490752,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151302Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=9055d9c76d02aaf72d33a55597bf1edf708515493d519f2afe3e53f8189ea854,2026-01-27 13:26:21,2026-01-27 15:14:20.727127,94.02790127004609,16.148107790634686
34,37,Psychopsis Papilio,,Regina Payne,regina.payne@lnhm.co.uk,(400)246-5288x36436,New Diana,French Guiana,15.4607085,-46.580627,,,,,2026-01-27 14:12:50,2026-01-27 15:14:20.869792,96.49156864258555,13.141078073784225
35,38,Saintpaulia Ionantha,Saintpaulia ionantha,Andrea Cook,andrea.cook@lnhm.co.uk,931-621-4485x063,Schmidtfurt,Cook Islands,-24.459428,-132.113354,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151304Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=ca98910553db1122ec73667b09f54542bbec6d0e96ca3f2cea94f51ef3d3d87a,2026-01-27 13:30:46,2026-01-27 15:14:21.114071,94.10889661990521,13.991106323561526
36,39,Gaillardia,Gaillardia aestivalis,Jimmy Rhodes,jimmy.rhodes@lnhm.co.uk,+1-477-347-7068,South Erik,Malta,39.852798,-22.673609,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T091458Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=c93e1e8cf42a476651f138e2ed7692d4c4cd1392de44e8138fba38c46a1e9650,2026-01-27 14:01:48,2026-01-27 15:14:21.378095,95.66396604581674,13.467329354351639
37,40,Amaryllis,Hippeastrum (group),Briana Deleon,briana.deleon@lnhm.co.uk,605-468-2269x187,Greentown,Gibraltar,-19.2927425,-101.687203,451.0,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,https://s3.us-central-1.wasabisys.com/perenual/image/upgrade_access.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T152749Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Signature=5ec9469caa7ea6592b85595ad12c71411bfd6d33c9454ccc80f6ca21ef4c5d2a,2026-01-27 14:28:30,2026-01-27 15:14:21.942900,97.4542618908418,14.65583567398344
38,41,Caladium Bicolor,Caladium bicolor,Charles Hall,charles.hall@lnhm.co.uk,7126105026,Lake Christopherberg,Montenegro,24.7269645,-7.878364,4.0,Attribution License,https://creativecommons.org/licenses/by/2.0/,https://s3.us-central-1.wasabisys.com/perenual/species_image/1457_caladium_bicolor/thumbnail/25575875658_d782fb76f1_b.jpg?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=0MPGHU7CIPXNPMVWMXUW%2F20260126%2Fus-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260126T151308Z&X-Amz-SignedHeaders=host&X-Amz-Expires=86400&X-Amz-Signature=84e99ef918a9538e44c06b2bff7844e93c5e67c3be8b8cf93349e4dbb8246ce8,2026-01-27 14:08:54,2026-01-27 15:14:22.470724,96.32509754911132,12.844444573378802
